Month,Truck Sales
2011-01-01,437
2011-02-01,440
2011-03-01,548
2011-04-01,590
2011-05-01,656
2011-06-01,650
2011-07-01,716
2011-08-01,719
2011-09-01,560
2011-10-01,481
2011-11-01,447
2011-12-01,517
2012-01-01,471
2012-02-01,465
2012-03-01,558
2012-04-01,590
2012-05-01,671
2012-06-01,670
2012-07-01,756
2012-08-01,778
2012-09-01,560
2012-10-01,497
2012-11-01,453
2012-12-01,519
2013-01-01,499
2013-02-01,501
2013-03-01,625
2013-04-01,671
2013-05-01,777
2013-06-01,727
2013-07-01,844
2013-08-01,861
2013-09-01,641
2013-10-01,564
2013-11-01,529
2013-12-01,624
2014-01-01,578
2014-02-01,572
2014-03-01,646
2014-04-01,781
2014-05-01,872
2014-06-01,824
2014-07-01,958
2014-08-01,933
2014-09-01,704
2014-10-01,639
2014-11-01,571
2014-12-01,666
