Date,area,average_price,code,houses_sold,no_of_crimes,borough_flag,Bookings Margin
1/1/1995,city of london,91449,E09000001,17,,1,1554633
2/1/1995,city of london,82203,E09000001,7,,1,575421
3/1/1995,city of london,79121,E09000001,14,,1,1107694
4/1/1995,city of london,77101,E09000001,7,,1,539707
5/1/1995,city of london,84409,E09000001,10,,1,844090
6/1/1995,city of london,94901,E09000001,17,,1,1613317
7/1/1995,city of london,110128,E09000001,13,,1,1431664
8/1/1995,city of london,112329,E09000001,14,,1,1572606
9/1/1995,city of london,104473,E09000001,17,,1,1776041
10/1/1995,city of london,108038,E09000001,14,,1,1512532
11/1/1995,city of london,117636,E09000001,11,,1,1293996
12/1/1995,city of london,127232,E09000001,18,,1,2290176
1/1/1996,city of london,108999,E09000001,17,,1,1852983
2/1/1996,city of london,93357,E09000001,10,,1,933570
3/1/1996,city of london,93707,E09000001,17,,1,1593019
4/1/1996,city of london,120543,E09000001,14,,1,1687602
5/1/1996,city of london,112050,E09000001,19,,1,2128950
6/1/1996,city of london,114226,E09000001,28,,1,3198328
7/1/1996,city of london,97547,E09000001,30,,1,2926410
8/1/1996,city of london,114179,E09000001,25,,1,2854475
9/1/1996,city of london,108138,E09000001,32,,1,3460416
10/1/1996,city of london,98934,E09000001,33,,1,3264822
11/1/1996,city of london,99707,E09000001,31,,1,3090917
12/1/1996,city of london,106427,E09000001,26,,1,2767102
1/1/1997,city of london,116343,E09000001,22,,1,2559546
2/1/1997,city of london,111142,E09000001,37,,1,4112254
3/1/1997,city of london,107488,E09000001,70,,1,7524160
4/1/1997,city of london,108480,E09000001,19,,1,2061120
5/1/1997,city of london,115453,E09000001,12,,1,1385436
6/1/1997,city of london,118317,E09000001,21,,1,2484657
7/1/1997,city of london,117034,E09000001,26,,1,3042884
8/1/1997,city of london,113585,E09000001,9,,1,1022265
9/1/1997,city of london,115159,E09000001,22,,1,2533498
10/1/1997,city of london,121251,E09000001,22,,1,2667522
11/1/1997,city of london,131074,E09000001,18,,1,2359332
12/1/1997,city of london,130035,E09000001,37,,1,4811295
1/1/1998,city of london,124382,E09000001,48,,1,5970336
2/1/1998,city of london,143829,E09000001,43,,1,6184647
3/1/1998,city of london,156508,E09000001,39,,1,6103812
4/1/1998,city of london,163403,E09000001,28,,1,4575284
5/1/1998,city of london,143625,E09000001,30,,1,4308750
6/1/1998,city of london,132251,E09000001,32,,1,4232032
7/1/1998,city of london,140377,E09000001,17,,1,2386409
8/1/1998,city of london,148993,E09000001,34,,1,5065762
9/1/1998,city of london,152807,E09000001,40,,1,6112280
10/1/1998,city of london,162020,E09000001,42,,1,6804840
11/1/1998,city of london,152387,E09000001,23,,1,3504901
12/1/1998,city of london,155801,E09000001,48,,1,7478448
1/1/1999,city of london,149143,E09000001,41,,1,6114863
2/1/1999,city of london,164545,E09000001,31,,1,5100895
3/1/1999,city of london,174586,E09000001,53,,1,9253058
4/1/1999,city of london,191157,E09000001,28,,1,5352396
5/1/1999,city of london,191081,E09000001,35,,1,6687835
6/1/1999,city of london,185993,E09000001,63,,1,11717559
7/1/1999,city of london,164056,E09000001,42,,1,6890352
8/1/1999,city of london,160905,E09000001,58,,1,9332490
9/1/1999,city of london,166193,E09000001,30,,1,4985790
10/1/1999,city of london,163490,E09000001,29,,1,4741210
11/1/1999,city of london,175143,E09000001,29,,1,5079147
12/1/1999,city of london,169309,E09000001,97,,1,16422973
1/1/2000,city of london,173738,E09000001,24,,1,4169712
2/1/2000,city of london,174152,E09000001,55,,1,9578360
3/1/2000,city of london,178339,E09000001,48,,1,8560272
4/1/2000,city of london,183101,E09000001,58,,1,10619858
5/1/2000,city of london,175041,E09000001,38,,1,6651558
6/1/2000,city of london,198191,E09000001,60,,1,11891460
7/1/2000,city of london,214852,E09000001,33,,1,7090116
8/1/2000,city of london,221952,E09000001,22,,1,4882944
9/1/2000,city of london,223175,E09000001,20,,1,4463500
10/1/2000,city of london,245062,E09000001,19,,1,4656178
11/1/2000,city of london,321773,E09000001,18,,1,5791914
12/1/2000,city of london,314772,E09000001,33,,1,10387476
1/1/2001,city of london,284262,E09000001,24,0,1,6822288
2/1/2001,city of london,198137,E09000001,37,0,1,7331069
3/1/2001,city of london,189033,E09000001,44,0,1,8317452
4/1/2001,city of london,205494,E09000001,38,0,1,7808772
5/1/2001,city of london,223459,E09000001,30,0,1,6703770
6/1/2001,city of london,242435,E09000001,36,0,1,8727660
7/1/2001,city of london,230700,E09000001,40,0,1,9228000
8/1/2001,city of london,231632,E09000001,30,0,1,6948960
9/1/2001,city of london,229806,E09000001,30,0,1,6894180
10/1/2001,city of london,263887,E09000001,26,0,1,6861062
11/1/2001,city of london,346458,E09000001,15,0,1,5196870
12/1/2001,city of london,362204,E09000001,17,0,1,6157468
1/1/2002,city of london,344239,E09000001,30,0,1,10327170
2/1/2002,city of london,284015,E09000001,12,0,1,3408180
3/1/2002,city of london,253697,E09000001,47,0,1,11923759
4/1/2002,city of london,245313,E09000001,31,0,1,7604703
5/1/2002,city of london,227281,E09000001,30,0,1,6818430
